Nombre,Institución,Dependencia,Género,Entidad
May Crespo José Fernando,Centro de Ingeniería y Desarrollo Industrial,Dirección de Investigación y Posgrado,Masculino,Querétaro
Maycotte González Paola,Instituto Mexicano del Seguro Social (IMSS),Coordinación de Investigación en Salud,Femenino,Distrito Federal
Maza Villalobos Méndez Susana,"Instituto de Ecología, A.C.",Área de Vegetación y Flora,Femenino,Veracruz
Mecinas Montiel Juan Manuel,"Centro de Investigación y Docencia Económicas, A.C.",Depto. de Administración Pública,Masculino,Distrito Federal
Medellín Mayoral Gabriela,Universidad Nacional Autónoma de México,Instituto de Ingeniería,Femenino,Yucatán
Medina Cuéllar Sergio Ernesto,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Masculino,Aguascalientes
Medrano Buenrostro Anahely,Benemérita Universidad Autónoma de Puebla,Instituto en Ciencias de Gobierno y Desarrollo Estratégico,Femenino,Puebla
Medrano Félix José Andrés,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección General ,Masculino,Sinaloa
Mejia Ambriz Julio Cesar,Universidad Nacional Autónoma de México,Instituto de Geofísica,Masculino,Michoacán
Meléndez Ortiz Héctor Iván,Centro de Investigación en Química Aplicada,Dirección de Vinculación y Investigación,Masculino,Coahuila
Mena Espino Xenia,Universidad Autónoma Metropolitana,Division de Ciencias Biológicas y de la Salud. Iztapalapa,Femenino,Distrito Federal
Méndez Maldonado Gloria Arlette,Universidad Autónoma de San Luis Potosí,Facultad de Medicina,Femenino,San Luis Potosí
Mendoza Castillo Didilia Ileana,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Aguascalientes,Femenino,Aguascalientes
Mendoza Castro Anayatzin Sagrario,Colegio de Postgraduados,Campus Puebla,Femenino,Puebla
Mendoza González Gabriela,Universidad Nacional Autónoma de México,Facultad de Ciencias,Femenino,Yucatán
Meneses Álvarez María Eugenia,Colegio de Postgraduados en Ciencias Agrícolas,Campus Puebla,Femenino,Puebla
Meneses Rodríguez David,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Masculino,Yucatán
Mercadillo Caballero Roberto Emmanuele,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
Meza Rocha Abraham Nehemias,Benemérita Universidad Autónoma de Puebla,Facultad de Ciencias Físico-Matemáticas,Masculino,Puebla
Meza Sánchez Iliana Marlen,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Ensenada,Femenino,Baja California
Mier Y Terán Giménez Cacho Mateo,El Colegio de la Frontera Sur,Unidad Tapachula,Masculino,Chiapas
Millán Chiu Blanca Edith,Universidad Nacional Autónoma de México,Centro de Física Aplicada y Tecnología Avanzada,Femenino,Querétaro
Miranda Colorado Roger,Instituto Politécnico Nacional,Centro de Investigación y Desarrollo de Tecnología Digital,Masculino,Baja California
Miranda Jiménez Sabino,Fondo de Información y Documentación para la Industria,Fondo de Información y Documentación para la Industria,Masculino,Aguascalientes
Mixcoha Hernández Edgar,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Masculino,Distrito Federal
Moctezuma Martiñón Rosario Esperanza,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Femenino,San Luis Potosí
Moctezuma Ochoa Daniela Alejandra,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Femenino,Aguascalientes
Molero Castillo Guillermo Gilberto,Universidad Veracruzana,Instituto de Investigaciones Historico-Sociales,Masculino,Veracruz
Mondragón Lozano Rodrigo,Instituto Mexicano del Seguro Social (IMSS),Centro Médico Nacional Siglo XXI,Masculino,Distrito Federal
Mondragon Rodríguez Siddhartha,Universidad Nacional Autónoma de México,Instituto de Neurobiología,Masculino,Querétaro
Montalvo Urquizo Jonathan,"Centro de Investigación en Matemáticas, A.C.",CIMAT Monterrey,Masculino,Nuevo León
Montaña Barbano Alfredo Agustín,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Electrónica,Masculino,Puebla
Montenegro Monroy Héctor Miguel,Universidad Autónoma Del Estado de México,Facultad de Ingeniería,Masculino,México
Montiel González Zeuz,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Metalurgia,Masculino,Nuevo León
Monzón Alvarado Claudia,El Colegio de la Frontera Sur,Unidad San Cristóbal de las Casas,Femenino,Chiapas
Morales Acosta Diana,Centro de Investigación en Química Aplicada,Depto. de Procesos de Transformación,Femenino,Coahuila
Morales Cruzado Beatriz,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Femenino,San Luis Potosí
Morales Gámez Miguel,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Morales Jiménez Jesús Israel,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",DEPTO. de BIOLOGIA MOLECULAR,Masculino,San Luis Potosí
Morales López Julio Ulises,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Occidente,Masculino,Jalisco
Morales Meléndez Quitzeh,Universidad Pedagógica Nacional,Unidad 201 Oaxaca,Masculino,Oaxaca
Morales Serna Francisco Neptali,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección de Tecnología de Alimentos de Origen Animal,Masculino,Sinaloa
Morales Trejo Fredy,Colegio de Postgraduados,Campus Veracruz,Masculino,Veracruz
Morán Escamilla Jorge Damián,"El Colegio de San Luis, A.C.","El Colegio de San Luis, A.C.",Masculino,San Luis Potosí
Moran Ramos Sofia,Instituto Nacional de Medicina Genómica,Instituto Nacional de Medicina Genómica,Femenino,Distrito Federal
Morelos Moreno Alvaro,Universidad Autónoma Agraria Antonio Narro,Subdirección de Asuntos de Postgrado,Masculino,Coahuila
Moreno Basaldúa Edwing Alberto,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Moreno Galván Felipe De Jesús,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Cancún,Masculino,Quintana Roo
Moreno Medina Cuauhtémoc Ulises,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Durango,Masculino,Durango
Moreno Mendieta Silvia Andrea,Universidad Nacional Autónoma de México,Instituto de Investigaciones Biomédicas,Femenino,Distrito Federal
Mota González María De La Luz,Universidad Autónoma de Ciudad Juarez,Instituto de Ciencias Biomedicas,Femenino,Chihuahua
Mota Morales Josue David,Universidad Nacional Autónoma de México,Centro de Nanociencias y Nanotecnología,Masculino,Baja California
Muñiz Jauregui Jesús Arturo,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Metalúrgicas,Masculino,Michoacán
Muñiz Pérez Omar,"Centro de Investigación en Matemáticas, A.C.",CIMAT Mérida,Masculino,Yucatán
Muñiz Ramirez Alethia,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",DEPTO. de BIOLOGIA MOLECULAR,Femenino,San Luis Potosí
Muñiz Soria Jesus,Universidad Nacional Autónoma de México,Instituto de Energías Renovables,Masculino,Morelos
Muñoz Aréyzaga Eréndira,Universidad Autónoma Del Estado de México,Secretaría de Investigación y Estudios Avanzados,Femenino,México
Muñoz Hernandez Linda Liliana,Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán,Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán,Femenino,Distrito Federal
Muñoz Huerta Rafael Francisco,"Centro de Investigaciones en Óptica, A.C.",Unidad Aguascalientes,Masculino,Aguascalientes
Muñoz Navia Milton De Jesus,Universidad Autónoma de San Luis Potosí,Instituto de Física,Masculino,San Luis Potosí
Murillo Tovar Mario Alfonso,Universidad Autónoma Del Estado de Morelos,Centro de Investigaciones Químicas,Masculino,Morelos
Nanco Hernández Porfirio,Universidad Autónoma de Yucatán,Dirección General de Asuntos Académicos,Masculino,Yucatán
Natera Marín José Miguel,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
Nava Castro Karen Elizabeth,Instituto Nacional de Enfermedades Respiratorias,Instituto Nacional de Enfermedades Respiratorias,Femenino,Distrito Federal
Navarrete Ramírez Pamela,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Agropecuarias y Forestales,Femenino,Michoacán
Navarro Cendejas José,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Distrito Federal
Navarro Navarro Luis Alan,El Colegio de Sonora,Coordinación General Académica,Masculino,Sonora
Navarro Noya Yendi Ebenezer,Universidad Autónoma de Tlaxcala,Centro de Investigación en Ciencias Biológicas,Femenino,Tlaxcala
Navarro Santos Pedro,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Quimico Biológicas,Masculino,Michoacán
Navarro Smith Alejandra,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Occidente,Femenino,Jalisco
Negrete Aranda Raquel,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Femenino,Baja California
Nepomuceno Mejía Tomás,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Masculino,Chiapas
Newell  Gillian Elisabeth,Universidad de Ciencias y Artes de Chiapas,Rectoría,Femenino,Chiapas
Nic Can Geovanny Iran,Universidad Autónoma de Yucatán,Facultad de Ingeniería Química,Masculino,Yucatán
