Nombre,Institución,Dependencia,Género,Entidad
Abundiz Cisneros Noemi,Universidad Nacional Autónoma de México,Centro de Nanociencias y Nanotecnología,Femenino,Baja California
Acosta Osorio Andrés Antonio,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Veracruz,Masculino,Veracruz
Aguado Rodríguez Graciano Javier,Universidad Politécnica Francisco I Madero,Universidad Politécnica Francisco I Madero,Masculino,Hidalgo
Aguilar Carrillo De Albornoz Javier,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Aguilar Hernandez Maria Montserrat,Instituto Nacional de Pediatría,Instituto Nacional de Pediatría,Femenino,Distrito Federal
Aguilar Rodríguez Adriana,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Femenino,Aguascalientes
Aguilera Aguirre Selene,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tepic,Femenino,Nayarit
Aguilera Navarrete Israel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Morelia,Masculino,Michoacán
Ahumada Valenzuela Omar,Universidad de Occidente,Unidad Culiacán,Masculino,Sinaloa
Alamilla Gonzalez Javier Francisco,Universidad de Colima,Facultad de Arquitectura,Masculino,Colima
Alatorre Cobos Fulgencio,Colegio de Postgraduados,Colegio de Postgraduados,Masculino,Campeche
Alatorre Meda Manuel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tijuana,Masculino,Baja California
Alcalá Burgos José Vidal,"Centro de Investigación en Matemáticas, A.C.",CIMAT Mérida,Masculino,Yucatán
Alcázar Vara Luis Alberto,Instituto Mexicano del Petróleo,"Delegación Regional Norte ( Poza Rica, Ver. )",Masculino,Veracruz
Aldana Bobadilla Edwyn Javier,Centro de Investigación y de Estudios Avanzados del IPN,Centro de Investigación y de Estudios Avanzados del IPN,Masculino,Tamaulipas
Aldasoro Maya Elda Miriam,El Colegio de la Frontera Sur,Unidad Tapachula,Femenino,Chiapas
Alejo Molina Adalberto,Universidad Autónoma Del Estado de Morelos,Centro de Investigaciones Químicas,Masculino,Morelos
Alonso Gomez Alejandro Rafael,Universidad Autónoma Metropolitana,Division de Ciencias Básicas e Ingeniería. Azcapotzalco,Masculino,Distrito Federal
Alonso Lemus Ivonne Liliana,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Saltillo,Femenino,Coahuila
Alonso Segura Diana,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Nuevo León,Femenino,Nuevo León
Alonso Villegas Rodrigo,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Masculino,Yucatán
Alpuche Osorno Juan José,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Masculino,Oaxaca
Alvarado  Maria Del Socorro,"El Colegio de Michoacán, A.C.",Centro de Estudios Antropológicos,Femenino,Michoacán
Alvarado Barrientos María Susana,El Colegio de la Frontera Sur,Unidad Chetumal,Femenino,Quintana Roo
Alvarado Flores Jesús,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Masculino,Quintana Roo
Alvarado López Carlos Juan,Tecnológico Nacional de México (DGEST),Instituto Tecnológico Agropecuario No. 2 Conkal Yucatán,Masculino,Yucatán
Alvarado Rivera Josefina,Universidad de Sonora,Dirección de Investigación y Posgrado,Femenino,Sonora
Alvarez Arellano María De Lourdes,Hospital Infantil de México Dr. Federico Gómez,Subdirección de Investigación,Femenino,Distrito Federal
Alvarez Bajo Osiris,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección General ,Femenino,Sonora
Alvarez Fitz Patricia,Universidad Autónoma de Guerrero,Escuela Superior de Agricultura,Femenino,Guerrero
Alvarez Gutierrez Peggy Elizabeth,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tuxtla Gutiérrez,Femenino,Chiapas
Amador Díaz López Julio César,"Centro de Investigación y Docencia Económicas, A.C.",Depto. de Administración Pública,Masculino,Distrito Federal
Amador Espejo Genaro Gustavo,Instituto Politécnico Nacional,Centro de Investigación en Biotecnología Aplicada,Masculino,Tlaxcala
Andres Rosales Roldan,"Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.","Centro de Investigación en Geografía y Geomática Ing. Jorge L. Tamayo, A.C.",Masculino,Distrito Federal
Andueza Noh Ruben Humberto,Tecnológico Nacional de México (DGEST),Instituto Tecnológico Agropecuario No. 2 Conkal Yucatán,Masculino,Yucatán
Aparicio Simón Benjamín,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Unidad Nayarit,Masculino,Nayarit
Aréchiga Figueroa Ivan Arael,Universidad Autónoma de San Luis Potosí,Facultad de Medicina,Masculino,San Luis Potosí
Arellanes Cancino Nimcy,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Oaxaca,Femenino,Oaxaca
Arellanes Cancino Yaayé,Universidad Michoacana de San Nicolás de Hidalgo,Facultad de Economía,Femenino,Michoacán
Arellanes Robledo Jaime,Instituto Nacional de Medicina Genómica,Instituto Nacional de Medicina Genómica,Masculino,Distrito Federal
Arias Ceron José Saúl,Centro de Investigación y de Estudios Avanzados del IPN,Dirección General,Masculino,Distrito Federal
Ariza Flores Augusto David,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Ariza Gutiérrez Ana Carolina Guadalupe,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Femenino,Morelos
Armida Alcudia Liliana,Colegio de Postgraduados,Campus Veracruz,Femenino,Veracruz
Arnold Hernández Edith,Universidad Nacional Autónoma de México,Instituto de Neurobiología,Femenino,Querétaro
Arriaga Trejo Israel Alejandro,Universidad Autónoma de Zacatecas,Unidad Académica de Ingeniería Eléctrica,Masculino,Zacatecas
Arvizu Barron Ezequiel,Colegio de Postgraduados,Campus Veracruz,Masculino,Veracruz
Aryal  Deb Raj,Universidad Autónoma de Chiapas,Universidad Autónoma de Chiapas,Masculino,Chiapas
Ascencio Alvarez Ada,Universidad Tecnológica de la Mixteca,Division de Estudios de Posgrado,Femenino,Oaxaca
Atuesta Becerra Laura Helena,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Femenino,Aguascalientes
Avellán López Denis Ramón,Universidad Nacional Autónoma de México,Instituto de Geofísica,Masculino,Michoacán
Avendaño Camacho Msael,Universidad de Sonora,Dirección de Investigación y Posgrado,Masculino,Sonora
Ávila Barrientos Lenin,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Masculino,Baja California
Avila Forcada Sara,Facultad Latinoamericana de Ciencias Sociales,Facultad Latinoamericana de Ciencias Sociales,Femenino,Distrito Federal
Ávila George Himer,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.","Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Masculino,Nayarit
Ávila Poveda Omar Hernando,Universidad Autónoma de Sinaloa,Escuela de Ciencias Del Mar,Masculino,Sinaloa
Ávila Soria Griselda,Universidad de Guadalajara,Centro Universitario de Ciencias Biológicas y Agropecuarias,Femenino,Jalisco
Ayala Berdón Jorge Israel,Universidad Autónoma de Tlaxcala,Centro de Investigación en Ciencias Biológicas,Masculino,Tlaxcala
Ayala Orozco Bárbara,Universidad Nacional Autónoma de México,Centro de Investigaciones en Ecosistemas,Femenino,Michoacán
Ayil Gutiérrez Gutiérrez Benjamín Abraham,Instituto Politécnico Nacional,Centro de Biotecnología Genómica,Masculino,Tamaulipas
Badillo Zapata Daniel,Universidad de Guadalajara,Centro Universitario de la Costa,Masculino,Jalisco
Baltiérrez Hoyos Rafael,Universidad Autónoma Benito Juarez de Oaxaca,Facultad de Medicina y Cirugía,Masculino,Oaxaca
Baqueiro Peña Itzamna,"Centro de Investigación en Alimentación y Desarrollo, A.C.",Dirección de Tecnología de Alimentos de Origen Animal,Femenino,Sonora
Barahona Torres Jesus Igor Heberto,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Morelos
Barajas Espinosa Alma,Universidad Autónoma de San Luis Potosí,Facultad de Medicina,Femenino,San Luis Potosí
Barcenas Patiño Ismael Everardo,Universidad Veracruzana,Instituto de Investigaciones Historico-Sociales,Masculino,Veracruz
Barragan Torres Felipe,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",Depto. de Biología Molecular,Masculino,San Luis Potosí
Barranco Gutiérrez Alejandro Israel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Celaya,Masculino,Guanajuato
Barraza Celis Aarón,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Agricultura en Zonas Áridas,Masculino,Baja California Sur
Barrera Méndez Felipe,"Instituto de Ecología, A.C.","Instituto de Ecología, A.C.",Masculino,Veracruz
Barrientos Gutiérrez Nelly Eblin,Universidad Del Papaloapan,Campus Tuxtepec,Femenino,Oaxaca
Bastian Hernandez Yadira,Instituto Mexicano del Seguro Social (IMSS),Coordinación de Investigación en Salud,Femenino,Distrito Federal
Batis Ruvalcaba Carolina,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Femenino,Morelos
Bautista Guzmán Irais,Benemérita Universidad Autónoma de Puebla,Benemérita Universidad Autónoma de Puebla,Femenino,Puebla
Bautista Redonda Francisco Elihu,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",DEPTO. de BIOLOGIA MOLECULAR,Masculino,San Luis Potosí
Becerra Sánchez Mariana,El Colegio de Sonora,Coordinación General Académica,Femenino,Sonora
Becerril Miranda Hector,Universidad Autónoma de Guerrero,Escuela de Arquitectura y Urbanismo,Masculino,Guerrero
Becerril Tinoco Citlalli Aidee,Instituto de Investigaciones Dr. José María Luis Mora,Instituto de Investigaciones Dr. José María Luis Mora,Femenino,Distrito Federal
Beiza Granados Lidia,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Quimico Biológicas,Femenino,Michoacán
Bermudez Urbina Flor Marina,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Pacífico Sur,Femenino,Oaxaca
Bernal Guillén Martha María,Universidad Autónoma de Zacatecas,Unidad Académica de Matemáticas,Femenino,Zacatecas
Betanzos Fernandez Abigail,Centro de Investigación y de Estudios Avanzados del IPN,Centro de Investigación y de Estudios Avanzados del IPN,Femenino,Distrito Federal
Blancas Zugarazo Sugela Susana,Universidad Autónoma de Aguascalientes,Centro de Ciencias Básicas,Femenino,Aguascalientes
Blanco Parra Maria Del Pilar,Universidad de Quintana Roo,División de Ciencias e Ingenierías,Femenino,Quintana Roo
Bojórquez Quintal Jesús Emanuel De Atocha,"El Colegio de Michoacán, A.C.",LADIPA,Masculino,Michoacán
Bonasia  Rosanna,Instituto Politécnico Nacional,Escuela Superior de Ingeniería y Arquitectura,Femenino,México
Borunda Pacheco Monica,Instituto de Investigaciones Eléctricas,Division de Sistemas Mecánicos,Femenino,Morelos
Bruce  Benjamin,"El Colegio de la Frontera Norte, A.C.",Dirección General Académica,Masculino,Baja California
Bustos Terrones Yaneth Alejandra,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Culiacán,Femenino,Sinaloa
Caamal Chan María Goretty,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Agricultura en Zonas Áridas,Femenino,Baja California Sur
Cach Pérez Manuel Jesús,El Colegio de la Frontera Sur,Unidad Tapachula,Masculino,Chiapas
Calva Sánchez Luis Enrique,"El Colegio de la Frontera Norte, A.C.",Dirección General Académica,Masculino,Baja California
Calvario Parra Jose Eduardo,El Colegio de Sonora,Coordinación General Académica,Masculino,Sonora
Calvario Rivera Claudia Irene,Universidad Autónoma de Tlaxcala,Centro de Investigaciones en Genética y Ambiente,Femenino,Tlaxcala
Calzada Lara Gabriel,Centro Nacional de Investigación y Desarrollo Tecnológico,Departamento de Ingeniería Electrónica,Masculino,Morelos
Camacho Tapia Nayeli,Centro de Ingeniería y Desarrollo Industrial,Dirección de Investigación y Posgrado,Femenino,Querétaro
Camacho Valdez Vera,El Colegio de la Frontera Sur,Unidad San Cristóbal de las Casas,Femenino,Chiapas
Camacho Villegas Tanya Amanda,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,Femenino,Jalisco
Campos García Huitziméngari,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Michoacán
Canales Delgadillo Julio Cesar,Universidad Nacional Autónoma de México,Instituto de Ciencias del Mar y Limnología,Masculino,Campeche
Candelaria Martinez Bernardino,Colegio de Postgraduados,Campus Campeche,Masculino,Campeche
Cano Marquez Abraham Guadalupe,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Energías Renovables y Protección del Medio Ambiente,Masculino,Nuevo León
Cano Sarmiento Cynthia,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Veracruz,Femenino,Veracruz
Cantarero López Jose Maria,"Centro de Investigación en Matemáticas, A.C.",CIMAT Mérida,Masculino,Yucatán
Cantoral Preciado Alejandra De Jesus,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Femenino,Morelos
Caram Salas Nadia Lizeth,"Instituto de Ecología, A.C.","Instituto de Ecología, A.C.",Femenino,Veracruz
Carballosa Torres Walter,Universidad Autónoma de Zacatecas,Unidad Académica de Matemáticas,Masculino,Zacatecas
Cardenas Conejo Yair,Universidad de Colima,Coordinación de Investigación Científica,Masculino,Colima
Cardona Félix César Salvador,Instituto Politécnico Nacional,Centro Interdisciplinario de Ciencias Marinas,Masculino,Baja California Sur
Cardoso Mohedano José Gilberto,Universidad Nacional Autónoma de México,Instituto de Ciencias del Mar y Limnología,Masculino,Campeche
Carmona Rodríguez Roberto,Universidad Autónoma de Baja California,Coordinación de Posgrado e Investigación,Masculino,Baja California
Carrasco Gómez Mónica,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Sureste,Femenino,Chiapas
Carrillo Catalán Ramiro,Universidad Pedagógica Nacional,Unidad 201 Oaxaca,Masculino,Oaxaca
Carrillo López Luis Manuel,Universidad Autónoma de Chihuahua,Facultad de Ingeniería,Masculino,Chihuahua
Cartas Rosado Raúl,Instituto Nacional de Cardiología Dr. Ignacio Chávez,Instituto Nacional de Cardiología Dr. Ignacio Chávez,Masculino,Distrito Federal
Casados Vázquez Luz Edith,Universidad de Guanajuato,Campus León,Femenino,Guanajuato
Casanova González Edgar,Universidad Nacional Autónoma de México,Instituto de Física,Masculino,Distrito Federal
Casañas Pimentel Rocio Guadalupe,Instituto Politécnico Nacional,Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN,Femenino,Distrito Federal
Casas Beltran Diego Armando,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Masculino,Quintana Roo
Castañeda Delgado Julio Enrique,Instituto Mexicano del Seguro Social (IMSS),Coordinación de Investigación en Salud,Masculino,Distrito Federal
Castelblanco Martínez Delma Nataly,Universidad de Quintana Roo,División de Ciencias e Ingenierías,Femenino,Quintana Roo
Castillo Domínguez Edgar,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Electrónica,Masculino,Puebla
Castillo Guerrero José Alfredo,Universidad de Guadalajara,Centro Universitario de la Costa Sur,Masculino,Jalisco
Castillo Juárez Israel,Colegio de Postgraduados,Campus Montecillo,Masculino,México
Castillo Lopez Ezequias,Universidad Autónoma de Baja California,Coordinación de Posgrado e Investigación,Masculino,Baja California
Castillo Padilla Diana Veronica,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Femenino,Distrito Federal
Castillo Rivera José Juan Francisco,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Castillo Rodríguez Rosa Angélica,Instituto Nacional de Pediatría,Instituto Nacional de Pediatría,Femenino,Distrito Federal
Castillo Santos Francisco Eduardo,Universidad Juárez Autónoma de Tabasco,Division Académica de Ciencias Biológicas,Masculino,Tabasco
Castillo Villa Pedro Osmany,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Oaxaca,Masculino,Oaxaca
Castro Ceseña Ana Bertha,Centro de Investigación y Desarrollo Tecnológico en Electroquímica,Depto. de Electroquímica,Femenino,Baja California
Castro Chacón Joel Humberto,Universidad Nacional Autónoma de México,Instituto de Astronomía,Masculino,Baja California
Castro García Ricardo,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Castro Guerrero Carlos Fernando,Instituto de Investigaciones Eléctricas,División de Sistemas de Control,Masculino,Morelos
Castro Manrreza Marta Elena,Hospital Infantil de México Dr. Federico Gómez,Coordinación de los Institutos Nacionales de Salud,Femenino,Distrito Federal
Castro Sánchez Andrea,Instituto Nacional de Cancerología,Instituto Nacional de Cancerología,Femenino,Distrito Federal
Castro Sánchez Luis Alberto,Universidad de Colima,Facultad de Arquitectura,Masculino,Colima
Castro Santana Anaclara,Instituto Nacional de Pediatría,Instituto Nacional de Pediatría,Femenino,Distrito Federal
Castruita De León Griselda,Centro de Investigación en Química Aplicada,Dirección de Vinculación y Investigación,Femenino,Coahuila
Ceballos Pérez Sergio Gabriel,El Colegio Del Estado de Hidalgo,El Colegio Del Estado de Hidalgo,Masculino,Hidalgo
Ceballos Sanchez Oscar,Universidad Autónoma de Nuevo León,Facultad de Ingeniería Mecánica y Eléctrica,Masculino,Nuevo León
Centeno Leija Sara Guillermina,Universidad de Colima,Coordinación de Investigación Científica,Femenino,Colima
Cerda Méndez Edgar Armando,Universidad Autónoma de San Luis Potosí,Instituto de Física,Masculino,San Luis Potosí
Cerezo Mota Ruth,Universidad Nacional Autónoma de México,Instituto de Ingeniería,Femenino,Yucatán
Cerón Camacho Ricardo,Instituto Mexicano del Petróleo,Dirección de Investigación y Posgrado,Masculino,Hidalgo
Cervantes García Daniel,Universidad Autónoma de Aguascalientes,Centro de Ciencias Básicas,Masculino,Aguascalientes
Chan Chan Lerma Hanaiy,Universidad de Sonora,Dirección de Investigación y Posgrado,Femenino,Sonora
Charbonnier  Fabien Sylvain Jacky,El Colegio de la Frontera Sur,Unidad Tapachula,Masculino,Chiapas
Chavez Alvarez Maria Jazmin,Universidad Nacional Autónoma de México,Instituto de Geofísica,Femenino,Michoacán
Chávez Gutierrez Miguel,Instituto Politécnico Nacional,Centro Interdisciplinario de Inv. para el Desarrollo..Ciidir,Masculino,Oaxaca
Chávez Rodríguez Danilo,Universidad Autónoma Metropolitana,Unidad Xochimilco,Masculino,Distrito Federal
Chávez Rodríguez Libertad,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Occidente,Femenino,Jalisco
Chávez Urbiola Edgar Arturo,Universidad Autónoma Del Estado de Hidalgo,Centro de Investigaciones Biológicas,Masculino,Hidalgo
Choix Ley Francisco Javier,Universidad de Guadalajara,Centro Universitario de Ciencias Exactas e Ingenierías,Masculino,Jalisco
Cholico Gonzalez Diana,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Metalúrgicas,Femenino,Michoacán
Cibrián Llanderal Iliana Tamara,Universidad Veracruzana,Instituto de Investigaciones Historico-Sociales,Femenino,Veracruz
Cisneros De La Cruz Bruno Aarón,Universidad Nacional Autónoma de México,Instituto de Matemáticas,Masculino,Oaxaca
Cisneros Devora Rodolfo,Instituto Mexicano del Petróleo,Dirección de Investigación y Posgrado,Masculino,Hidalgo
Cobos Murcia José Angel,Universidad Autónoma Del Estado de Hidalgo,Centro de Investigaciones Biológicas,Masculino,Hidalgo
Colin Ramirez Eloisa,Instituto Nacional de Cardiología Dr. Ignacio Chávez,Instituto Nacional de Cardiología Dr. Ignacio Chávez,Femenino,Distrito Federal
Colli Dula Reyna Cristina,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Mérida,Femenino,Yucatán
Compean Jasso Victor Hugo,Universidad Autónoma de San Luis Potosí,Coordinación para la Innovación y Aplicación de la Ciencia,Masculino,San Luis Potosí
Contreras Medina David Israel,Centro de Investigación y Asistencia en Tecnología y Diseño del Edo. de Jalisco,División de Biotecnología,Masculino,Guerrero
Corbo Camargo Fernando,Universidad Nacional Autónoma de México,Centro de Geociencias,Masculino,Querétaro
Cornejo Garcia Raymundo,Universidad Autónoma de Chihuahua,Facultad de Ingeniería,Masculino,Chihuahua
Cornejo Hernández Amaranta,Universidad de Ciencias y Artes de Chiapas,Centro de Estudios Superiores México-Centroamérica,Femenino,Chiapas
Corona Romero Pedro,Universidad Nacional Autónoma de México,Instituto de Geofísica,Masculino,Michoacán
Correa Pacheco Zormy Nacary,Instituto Politécnico Nacional,Centro de Desarrollo de Productos Bióticos,Femenino,Morelos
Cortés Maldonado Ismael,Universidad Michoacana de San Nicolás de Hidalgo,Escuela de Ciencias Físico Matemáticas,Masculino,Michoacán
Cortez Valadez José Manuel,Universidad de Sonora,Dirección de Investigación y Posgrado,Masculino,Sonora
Cosme Bolaños Ismael,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Electrónica,Masculino,Puebla
Costa De Almeida Tenreiro Miguel José,"Centro de Investigación Científica y de Educación Superior de Ensenada, B.C.",Dirección de Estudios de Posgrado,Masculino,Baja California
Courtoy  Aurore Marie Pascale Nicole,Centro de Investigación y de Estudios Avanzados del IPN,Centro de Investigación y de Estudios Avanzados del IPN,Femenino,Distrito Federal
Coyoy Salgado Angélica Berenice,Instituto Mexicano del Seguro Social (IMSS),Centro Médico Nacional Siglo XXI,Femenino,Distrito Federal
Cruz Aceves Ivan,"Centro de Investigación en Matemáticas, A.C.",CIMAT Guanajuato,Masculino,Guanajuato
Cruz Castro Oscar,Universidad Autónoma Del Estado de México,Facultad de Ingeniería,Masculino,México
Cruz Meléndez Christian Arturo,Universidad de la Sierra Sur,División de Estudios de Posgrado,Masculino,Oaxaca
Cruz Ramos Mirna,Centro de Investigación y Estudios Superiores en Antropología Social,Unidad Sureste,Femenino,Chiapas
Cruz Rodríguez Ignacio Javier,Universidad Autónoma de Coahuila,Universidad Autónoma de Coahuila,Masculino,Coahuila
Cruz Vega Israel,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Ciencias Computacionales,Masculino,Puebla
Dagnino Acosta Adan,Universidad de Colima,Facultad de Arquitectura,Masculino,Colima
De Alba Casillas Hernán,Universidad Autónoma de Zacatecas,Unidad Académica de Matemáticas,Masculino,Zacatecas
De La Cruz Orozco Ivania,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Femenino,Distrito Federal
De La Cruz Soto Javier,Instituto de Investigaciones Eléctricas,Division de Sistemas Mecánicos,Masculino,Morelos
De La Cruz Terrazas Edna Carina,Instituto Politécnico Nacional,Centro de Investigación en Ciencia Aplicada y Tecnología Avanzada del IPN,Femenino,Tamaulipas
De La Luz Rodríguez Victor Hugo,Universidad Nacional Autónoma de México,Instituto de Geofísica,Masculino,Michoacán
De La Luz Tlapaya Veronica,Universidad Autónoma Metropolitana,División de Ciencias Básicas e Ingeniería. Iztapalapa,Femenino,Distrito Federal
De La Mora Mojica María Beatriz,Universidad Nacional Autónoma de México,Centro de Ciencias Aplicadas y Desarrollo Tecnológico,Femenino,Distrito Federal
De La Rosa Castillo Miguel Angel,Universidad Juárez Autónoma de Tabasco,Division Académica de Ciencias Biológicas,Masculino,Tabasco
De Los Santos Villalobos Sergio,Instituto Tecnológico de Sonora,Dirección de la Division de Recursos Naturales,Masculino,Sonora
De Luna Bugallo Andrés,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Querétaro,Masculino,Querétaro
Dehesa Carrasco Ulises,Instituto Mexicano de Tecnología Del Agua,Coordinación de Riego y Drenaje,Masculino,Morelos
Diaz Cancino Olga Rocío,Colegio de Postgraduados,Campus Puebla,Femenino,Puebla
Díaz De La Vega Pérez Anibal Helios,Universidad Autónoma de Tlaxcala,Centro de Investigación en Ciencias Biológicas,Masculino,Tlaxcala
Díaz Guillén Juan Carlos,"Corporación Mexicana de Investigación en Materiales, S.A. de C.V.",Dirección de Transferencia de Tecnología,Masculino,Coahuila
Diaz Herrera Edgar,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Masculino,Morelos
Díaz Montes Julio César,Universidad Autónoma Del Estado de México,Facultad de Ingeniería,Masculino,México
Diaz Ortiz Erik Ignacio,Universidad Pedagógica Nacional,Unidad 201 Oaxaca,Masculino,Oaxaca
Dominguez Cruz Rocio Berenice,"Centro de Investigación en Materiales Avanzados, S.C.",Depto. de Metalurgia,Femenino,Chihuahua
Dominguez Del Angel Victoria Fabia,Colegio de Postgraduados,Colegio de Postgraduados,Femenino,Campeche
Domínguez Juarez Jorge Luis,Universidad Nacional Autónoma de México,Centro de Física Aplicada y Tecnología Avanzada,Masculino,Querétaro
Domínguez Martínez Tecelli,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,Femenino,Distrito Federal
Domínguez Pérez Luis Julian,"Centro de Investigación en Matemáticas, A.C.",CIMAT Zacatecas,Masculino,Zacatecas
Donoso Jiménez Javiera,Universidad Autónoma de Guerrero,Facultad de Ingeniería,Femenino,Guerrero
Dor  Ariane Liliane Jeanne,El Colegio de la Frontera Sur,Unidad Tapachula,Femenino,Chiapas
Dorantes Jiménez Jaime,Colegio de Postgraduados,Campus Campeche,Masculino,Campeche
Douterlungne Rotsaert David,"Instituto Potosino de Investigación Cientifica y Tecnológica, A.C.",Depto. de Biología Molecular,Masculino,San Luis Potosí
Duarte  Andrés Daniel,Universidad Autónoma de Zacatecas,Unidad Académica de Matemáticas,Masculino,Zacatecas
Duarte Cruz José María,El Colegio de la Frontera Sur,Unidad Tapachula,Masculino,Chiapas
Duarte Villaseñor Miguel,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Tijuana,Masculino,Baja California
Duran Sánchez Manuel,Instituto Nacional de Astrofísica Óptica y Electrónica,Área de Electrónica,Masculino,Puebla
Dzul Erosa Mercy Sugey,Universidad de Guanajuato,Campus León,Femenino,Guanajuato
Elizondo Cordero Alejandra,"Centro de Investigación y Docencia Económicas, A.C.",Depto. de Administración Pública,Femenino,Distrito Federal
Elizondo Quiroga Armando,Instituto Nacional de Salud Pública,Instituto Nacional de Salud Pública,Masculino,Chiapas
Enríquez Valencia Raúl,Tecnológico Nacional de México (DGEST),Instituto Tecnológico de Oaxaca,Masculino,Oaxaca
Escalera Vazquez Luis Humberto,Universidad Michoacana de San Nicolás de Hidalgo,Instituto de Investigaciones Sobre los Recursos Naturales,Masculino,Michoacán
Escobar Morales Beatriz,"Centro de Investigación Científica de Yucatán, A.C.",Unidad de Ciencias del Agua,Femenino,Yucatán
Escobar Sánchez Ofelia,Universidad Autónoma de Sinaloa,Escuela de Ciencias Del Mar,Femenino,Sinaloa
Escobedo Fregoso Cristina,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Programa de Acuicultura y Biotecnología Marina,Femenino,Baja California Sur
Escorcia García José,Centro de Investigación y de Estudios Avanzados del IPN,Unidad Saltillo,Masculino,Coahuila
Espejel Garcia Anastacio,Universidad Autónoma Chapingo,Universidad Autónoma Chapingo,Masculino,México
Espindola Mata Juan,"Centro de Investigación y Docencia Económicas, A.C.",Secretaría Académica,Masculino,Distrito Federal
Espinosa Chaurand Luis Daniel,"Centro de Investigaciones Biológicas del Noroeste, S.C.",Unidad Nayarit,Masculino,Nayarit
Espinosa Guzmán Alberto Antonio,Universidad Autónoma de Campeche,Centro de Estudios de Desarrollo Sustentable y de Aprovechamiento,Masculino,Campeche
